api,bytes,error,full,login,name,owner,rate_remaining,rate_reset,rest_calls,status,task,time_ms
rest,5998,,psf/requests,,requests,psf,,,1,200,medium_repo,695.7211494445801
graphql,179,,octocat/Hello-World,,Hello-World,octocat,4605,1765153604,0,200,medium_repo,657.7835083007812
graphql,183,,torvalds/linux,,linux,torvalds,4604,1765153604,0,200,medium_repo,925.0319004058838
graphql,216,,numpy/numpy,,numpy,numpy,4603,1765153604,0,200,medium_repo,1894.637107849121
graphql,247,,django/django,,django,django,4602,1765153604,0,200,medium_repo,721.9436168670654
graphql,118,,,mojombo,,,4601,1765153604,0,200,simple_user,640.303373336792
rest,1201,,,defunkt,,,,,1,200,simple_user,604.1507720947266
graphql,47,,torvalds/linux,,linux,torvalds,4600,1765153604,0,200,complex_issues,697.314977645874
rest,4994,,torvalds/linux,,linux,torvalds,,,1,200,medium_repo,724.3280410766602
rest,5107,,octocat/Hello-World,,Hello-World,octocat,,,1,200,medium_repo,862.7262115478516
rest,1188,,,pjhyett,,,,,1,200,simple_user,553.0474185943604
rest,200997,,django/django,,django,django,,,1,200,complex_issues,1126.225471496582
rest,254426,,numpy/numpy,,numpy,numpy,,,1,200,complex_issues,1333.7841033935547
rest,286239,,psf/requests,,requests,psf,,,1,200,complex_issues,1272.7298736572266
graphql,5242,,octocat/Hello-World,,Hello-World,octocat,4599,1765153604,0,200,complex_issues,1033.4296226501465
rest,5870,,numpy/numpy,,numpy,numpy,,,1,200,medium_repo,691.2660598754883
rest,1223,,,torvalds,,,,,1,200,simple_user,594.3393707275391
rest,181589,,torvalds/linux,,linux,torvalds,,,1,200,complex_issues,1066.6542053222656
graphql,204,,psf/requests,,requests,psf,4598,1765153604,0,200,medium_repo,680.1085472106934
graphql,119,,,octocat,,,4597,1765153604,0,200,simple_user,1816.36643409729
rest,122033,,octocat/Hello-World,,Hello-World,octocat,,,1,200,complex_issues,1110.8617782592773
graphql,8920,,numpy/numpy,,numpy,numpy,4596,1765153604,0,200,complex_issues,788.2685661315918
graphql,115,,,defunkt,,,4595,1765153604,0,200,simple_user,633.7597370147705
graphql,47,,django/django,,django,django,4594,1765153604,0,200,complex_issues,630.3610801696777
rest,1282,,,mojombo,,,,,1,200,simple_user,781.1317443847656
graphql,107,,,pjhyett,,,4593,1765153604,0,200,simple_user,627.2838115692139
rest,6125,,django/django,,django,django,,,1,200,medium_repo,665.1482582092285
graphql,124,,,torvalds,,,4592,1765153604,0,200,simple_user,612.1995449066162
rest,1232,,,octocat,,,,,1,200,simple_user,556.7994117736816
graphql,7595,,psf/requests,,requests,psf,4591,1765153604,0,200,complex_issues,946.2869167327881
rest,5998,,psf/requests,,requests,psf,,,1,200,medium_repo,884.4497203826904
graphql,179,,octocat/Hello-World,,Hello-World,octocat,4590,1765153604,0,200,medium_repo,646.5563774108887
graphql,183,,torvalds/linux,,linux,torvalds,4589,1765153604,0,200,medium_repo,1036.58127784729
graphql,216,,numpy/numpy,,numpy,numpy,4588,1765153604,0,200,medium_repo,654.8068523406982
graphql,247,,django/django,,django,django,4587,1765153604,0,200,medium_repo,702.4116516113281
